"","message","compositional","sender","receiver","evaluator","evaluation"
"714",37,"compositional",10,36,24,49
"715",35,"compositional",8,21,24,43
"716",29,"compositional",8,49,24,32
"717",26,"compositional",4,12,24,36
"718",28,"compositional",14,34,24,28
"719",33,"compositional",25,41,24,0
"720",39,"compositional",17,24,24,25
"721",37,"compositional",10,31,25,20
"722",5,"spectral",3,29,25,50
"723",9,"spectral",4,12,25,40
"724",33,"compositional",25,14,25,50
"725",5,"spectral",3,33,25,40
"726",2,"spectral",8,49,25,45
"727",30,"compositional",3,23,25,20
"728",37,"compositional",10,35,25,55
"729",4,"spectral",8,5,25,53
"730",20,"spectral",3,29,25,48
"731",33,"compositional",25,41,25,40
"732",15,"spectral",3,17,25,34
"733",34,"compositional",4,22,25,60
"734",16,"spectral",17,15,25,80
"735",38,"compositional",25,13,25,10
"736",4,"spectral",8,21,25,40
"737",1,"spectral",14,30,25,55
"738",11,"spectral",10,35,25,55
"739",15,"spectral",3,23,25,10
"740",15,"spectral",3,25,25,20
"741",20,"spectral",3,42,25,30
"742",29,"compositional",8,48,25,30
"743",26,"compositional",4,38,25,30
"744",35,"compositional",8,21,25,80
"745",39,"compositional",17,8,25,50
"746",10,"spectral",17,6,25,90
"747",35,"compositional",4,38,25,90
"748",11,"spectral",17,24,25,85
"749",35,"compositional",8,50,25,56
"750",14,"spectral",10,2,25,30
"751",31,"compositional",17,3,26,55
"752",26,"compositional",4,46,26,25
"753",11,"spectral",10,2,26,76
"754",35,"compositional",10,31,26,11
"755",33,"compositional",25,32,26,61
"756",15,"spectral",25,45,26,10
"757",16,"spectral",17,6,26,56
"758",29,"compositional",8,48,26,4
"759",14,"spectral",10,36,26,43
"760",33,"compositional",25,27,26,53
"761",27,"compositional",25,41,26,4
"762",16,"spectral",3,43,26,40
"763",20,"spectral",3,33,26,6
"764",35,"compositional",4,46,26,68
"765",0,"spectral",4,22,26,13
"766",9,"spectral",14,11,26,2
"767",27,"compositional",25,14,26,47
"768",5,"spectral",3,29,26,22
"769",16,"spectral",3,25,26,6
"770",15,"spectral",3,23,26,2
"771",9,"spectral",4,38,26,4
